»’∆⁄,∆⁄ ˝,,,,∫Ï«Ú_1,∫Ï«Ú_2,∫Ï«Ú_3,∫Ï«Ú_4,∫Ï«Ú_5,¿∂«Ú_1,¿∂«Ú_2
2025-8-2,25087,,,,05,13,14,16,20,03,08
2025-7-30,25086,,,,02,06,23,24,33,01,10
2025-7-28,25085,,,,02,05,09,14,33,04,09
2025-7-26,25084,,,,09,11,13,18,29,04,11
2025-7-23,25083,,,,12,17,18,20,34,02,05
2025-7-21,25082,,,,02,03,04,12,26,01,08
2025-7-19,25081,,,,01,04,06,15,18,02,03
2025-7-16,25080,,,,09,10,18,22,24,03,12
2025-7-14,25079,,,,02,14,32,34,35,05,11
2025-7-12,25078,,,,07,10,15,21,24,05,06
2025-7-9,25077,,,,12,14,16,19,28,01,04
2025-7-7,25076,,,,11,18,22,25,29,04,12
2025-7-5,25075,,,,08,12,16,19,35,06,09
2025-7-2,25074,,,,02,11,15,18,21,05,10
2025-6-30,25073,,,,01,04,17,33,34,03,09
2025-6-28,25072,,,,04,07,15,24,29,01,04
2025-6-25,25071,,,,01,08,25,31,33,05,11
2025-6-23,25070,,,,08,09,15,20,22,04,12
2025-6-21,25069,,,,04,06,07,33,34,09,10
2025-6-18,25068,,,,01,04,17,20,22,04,10
2025-6-16,25067,,,,06,10,12,21,22,01,06
2025-6-14,25066,,,,15,18,27,28,34,03,06
2025-6-11,25065,,,,07,25,32,33,35,04,09
2025-6-9,25064,,,,05,10,18,20,34,01,08
2025-6-7,25063,,,,05,18,26,29,32,07,10
2025-6-4,25062,,,,14,20,27,28,29,06,10
2025-6-2,25061,,,,02,11,16,23,28,05,10
2025-5-31,25060,,,,12,14,19,33,34,01,07
2025-5-28,25059,,,,03,09,10,11,26,01,02
2025-5-26,25058,,,,06,11,15,21,23,01,07
2025-5-24,25057,,,,09,10,11,12,29,01,10
2025-5-21,25056,,,,12,15,28,29,32,08,11
2025-5-19,25055,,,,08,10,25,29,30,01,02
2025-5-17,25054,,,,03,12,16,21,29,01,02
2025-5-14,25053,,,,14,23,29,30,33,06,12
2025-5-12,25052,,,,02,04,11,29,30,02,08
2025-5-10,25051,,,,02,04,13,29,31,05,12
2025-5-7,25050,,,,15,18,20,21,34,04,10
2025-5-5,25049,,,,09,20,22,29,34,03,08
2025-5-3,25048,,,,02,06,17,23,35,06,11
2025-4-30,25047,,,,03,10,11,12,21,02,03
2025-4-28,25046,,,,04,10,15,20,34,04,07
2025-4-26,25045,,,,08,11,21,23,27,03,08
2025-4-23,25044,,,,15,17,21,22,26,02,08
2025-4-21,25043,,,,03,16,20,21,27,09,11
2025-4-19,25042,,,,06,08,11,18,20,05,11
2025-4-16,25041,,,,03,04,21,22,27,05,11
2025-4-14,25040,,,,02,08,16,31,32,04,12
2025-4-12,25039,,,,03,07,14,15,19,06,10
2025-4-9,25038,,,,07,08,20,26,34,08,09
2025-4-7,25037,,,,05,20,23,27,31,04,06
2025-4-5,25036,,,,04,07,13,27,30,02,06
2025-4-2,25035,,,,22,25,28,29,30,04,08
2025-3-31,25034,,,,04,15,22,28,33,06,08
2025-3-29,25033,,,,01,02,08,10,33,10,12
2025-3-26,25032,,,,12,22,25,27,28,01,02
2025-3-24,25031,,,,14,18,20,25,35,01,07
2025-3-22,25030,,,,03,09,14,24,28,06,07
2025-3-19,25029,,,,05,09,26,31,33,03,10
2025-3-17,25028,,,,06,08,20,25,29,03,07
2025-3-15,25027,,,,03,06,11,13,20,01,11
2025-3-12,25026,,,,02,03,07,17,30,01,09
2025-3-10,25025,,,,03,06,08,10,25,03,07
2025-3-8,25024,,,,06,12,13,16,23,05,08
2025-3-5,25023,,,,10,20,22,24,25,09,12
2025-3-3,25022,,,,01,11,13,27,29,04,10
2025-3-1,25021,,,,10,18,25,30,35,03,12
2025-2-26,25020,,,,01,09,12,22,29,05,09
2025-2-24,25019,,,,07,08,11,18,23,03,11
2025-2-22,25018,,,,01,07,09,20,28,01,04
2025-2-19,25017,,,,10,12,26,28,31,03,10
2025-2-17,25016,,,,05,07,12,20,29,08,12
2025-2-15,25015,,,,07,10,24,31,35,01,08
2025-2-12,25014,,,,05,19,22,29,35,02,10
2025-2-10,25013,,,,14,16,18,20,35,02,05
2025-2-8,25012,,,,02,18,19,21,25,02,11
2025-1-25,25011,,,,03,06,07,11,27,02,08
2025-1-22,25010,,,,05,21,28,30,32,07,12
2025-1-20,25009,,,,03,19,21,30,32,06,09
2025-1-18,25008,,,,01,05,07,13,35,05,12
2025-1-15,25007,,,,15,22,23,25,31,01,09
2025-1-13,25006,,,,03,04,13,19,35,03,10
2025-1-11,25005,,,,05,06,08,31,32,09,11
2025-1-8,25004,,,,02,05,09,13,33,01,07
2025-1-6,25003,,,,10,25,30,32,34,04,10
2025-1-4,25002,,,,19,21,22,28,32,06,09
2025-1-1,25001,,,,05,08,16,17,27,04,07
2024-12-30,24152,,,,01,02,07,08,31,02,10
2024-12-28,24151,,,,05,12,17,19,35,10,11
2024-12-25,24150,,,,04,11,23,25,34,05,07
2024-12-23,24149,,,,02,05,16,18,22,07,09
2024-12-21,24148,,,,06,09,20,32,35,08,11
2024-12-18,24147,,,,12,18,21,22,31,01,07
2024-12-16,24146,,,,05,20,21,22,32,03,04
2024-12-14,24145,,,,01,06,09,22,24,01,03
2024-12-11,24144,,,,06,07,08,21,30,01,05
2024-12-9,24143,,,,16,20,22,24,31,04,05
2024-12-7,24142,,,,08,21,24,33,34,03,10
2024-12-4,24141,,,,02,06,07,16,20,02,11
2024-12-2,24140,,,,03,06,15,23,31,01,12
2024-11-30,24139,,,,05,12,20,23,24,05,07
2024-11-27,24138,,,,05,17,20,28,34,04,09
2024-11-25,24137,,,,08,15,16,17,21,02,05
2024-11-23,24136,,,,01,17,20,29,34,07,08
2024-11-20,24135,,,,06,08,22,24,30,03,08
2024-11-18,24134,,,,01,04,07,13,33,05,06
2024-11-16,24133,,,,08,10,14,22,29,04,06
2024-11-13,24132,,,,05,06,10,16,31,06,09
2024-11-11,24131,,,,02,03,04,21,26,02,03
2024-11-9,24130,,,,11,21,25,31,32,04,10
2024-11-6,24129,,,,07,19,30,31,34,05,07
2024-11-4,24128,,,,03,07,10,29,31,01,03
2024-11-2,24127,,,,02,03,10,16,28,07,10
2024-10-30,24126,,,,02,10,17,28,34,07,08
2024-10-28,24125,,,,10,14,19,24,26,01,10
2024-10-26,24124,,,,02,03,07,10,25,01,11
2024-10-23,24123,,,,03,09,16,30,31,08,09
2024-10-21,24122,,,,05,06,09,15,17,03,10
2024-10-19,24121,,,,07,15,18,24,33,04,05
2024-10-16,24120,,,,04,12,17,23,27,02,08
2024-10-14,24119,,,,06,12,28,30,33,02,07
2024-10-12,24118,,,,01,03,09,16,19,05,11
2024-10-9,24117,,,,02,10,22,26,28,02,04
2024-10-7,24116,,,,01,03,06,16,25,01,11
2024-10-5,24115,,,,03,04,12,19,24,08,12
2024-9-30,24114,,,,12,27,30,34,35,05,11
2024-9-28,24113,,,,16,18,25,26,33,04,08
2024-9-25,24112,,,,05,15,24,31,34,03,10
2024-9-23,24111,,,,03,09,19,27,30,07,11
