,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,25090,06,11,12,21,27,28,15
1,25089,04,06,08,18,31,33,05
2,25088,01,03,13,18,21,25,06
3,25087,02,06,14,15,24,26,08
4,25086,02,06,08,10,17,24,06
5,25085,11,14,15,18,21,24,13
6,25084,06,08,10,14,24,33,15
7,25083,10,15,16,17,27,29,12
8,25082,04,06,09,14,32,33,11
9,25081,03,06,18,20,23,28,05
10,25080,03,07,08,10,16,19,05
11,25079,08,11,14,15,30,32,05
12,25078,06,15,17,30,32,33,14
13,25077,04,07,08,15,20,21,15
14,25076,02,06,09,12,14,30,08
15,25075,10,12,14,19,20,21,15
16,25074,03,04,12,20,32,33,13
17,25073,02,07,10,27,30,33,11
18,25072,02,14,17,25,27,29,05
19,25071,01,12,18,23,25,28,07
20,25070,02,03,15,21,22,33,06
21,25069,02,04,19,23,27,30,05
22,25068,05,07,08,19,20,31,07
23,25067,01,05,10,17,20,22,05
24,25066,06,22,24,27,28,30,04
25,25065,06,10,13,14,15,20,11
26,25064,02,10,13,22,29,33,16
27,25063,02,19,21,22,28,30,01
28,25062,06,08,09,13,25,31,14
29,25061,06,07,09,10,11,32,09
30,25060,06,14,18,25,28,30,01
31,25059,04,10,11,12,13,24,01
32,25058,02,06,07,09,10,20,06
33,25057,04,09,15,16,25,30,14
34,25056,01,02,10,14,28,31,03
35,25055,02,05,22,27,29,33,12
36,25054,05,07,10,21,24,27,16
37,25053,06,09,10,13,30,33,07
38,25052,06,07,10,17,20,26,09
39,25051,01,02,03,04,17,22,01
40,25050,09,12,15,18,22,33,16
41,25049,03,06,19,27,29,33,11
42,25048,16,21,22,23,27,31,10
43,25047,01,14,21,22,23,31,12
44,25046,02,03,10,16,29,33,01
45,25045,02,14,19,24,29,33,13
46,25044,02,03,07,08,14,28,11
47,25043,03,12,16,19,20,32,13
48,25042,07,13,19,23,27,33,12
49,25041,06,10,17,19,25,31,06
50,25040,02,06,08,09,10,24,11
51,25039,08,10,12,15,17,23,11
52,25038,06,19,20,23,26,33,09
53,25037,03,06,11,20,21,31,02
54,25036,05,11,13,16,19,32,07
55,25035,01,08,16,18,25,31,01
56,25034,05,08,13,14,24,26,12
57,25033,03,05,18,25,26,33,08
58,25032,03,08,10,14,16,21,03
59,25031,01,05,06,08,23,28,01
60,25030,04,06,07,30,31,33,06
61,25029,05,15,16,25,30,33,16
62,25028,04,09,14,15,18,25,15
63,25027,05,07,08,15,16,23,06
64,25026,09,10,12,14,19,32,07
65,25025,12,15,21,23,25,30,02
66,25024,10,11,22,27,30,32,15
67,25023,09,12,13,24,25,33,07
68,25022,11,17,18,20,28,30,10
69,25021,07,08,16,18,25,32,14
70,25020,04,11,13,16,26,30,15
71,25019,05,13,17,18,22,23,11
72,25018,03,09,18,21,28,29,11
73,25017,04,12,15,18,28,29,05
74,25016,02,03,12,16,20,29,14
75,25015,04,11,15,24,25,33,15
76,25014,06,07,09,13,21,27,05
77,25013,04,14,16,23,24,30,14
78,25012,07,11,13,18,27,31,11
79,25011,06,13,17,22,24,29,11
80,25010,04,06,07,16,17,21,08
81,25009,02,04,11,12,23,25,06
82,25008,09,14,16,17,25,33,11
83,25007,07,08,14,18,21,27,11
84,25006,01,07,08,17,20,22,06
85,25005,10,16,19,27,28,30,09
86,25004,03,07,17,27,29,32,04
87,25003,10,19,20,26,28,29,15
88,25002,09,12,13,15,22,26,11
89,25001,02,03,17,18,22,33,16
90,24151,05,10,16,19,29,32,04
91,24150,13,14,20,22,26,32,02
92,24149,03,09,16,17,18,22,16
93,24148,02,06,15,16,21,23,11
94,24147,05,11,13,16,21,30,10
95,24146,02,04,11,22,27,32,10
96,24145,01,03,16,22,23,30,03
97,24144,02,09,11,17,20,30,11
98,24143,02,05,11,22,30,33,10
99,24142,04,06,13,21,22,25,06
100,24141,01,02,07,15,24,29,12
101,24140,04,07,08,17,22,26,15
102,24139,15,16,20,22,23,29,14
103,24138,02,07,11,21,27,28,02
104,24137,04,09,10,19,26,27,12
105,24136,03,11,15,21,25,26,03
106,24135,05,11,17,18,30,31,13
107,24134,02,04,13,16,18,20,16
108,24133,01,11,15,27,30,33,01
109,24132,01,04,25,27,28,33,03
110,24131,04,05,11,15,20,32,13
111,24130,01,08,12,17,19,24,16
112,24129,09,10,13,19,24,32,01
113,24128,01,08,13,18,20,26,16
114,24127,02,05,13,20,27,32,10
115,24126,14,18,23,24,26,33,10
116,24125,01,04,13,18,26,30,03
117,24124,02,14,15,17,25,30,11
118,24123,02,15,22,26,30,33,04
119,24122,05,07,09,16,17,29,15
120,24121,01,07,10,13,27,33,03
121,24120,01,05,07,11,18,19,07
122,24119,02,09,26,27,31,32,14
123,24118,02,03,04,06,11,15,14
124,24117,03,12,14,16,29,32,12
125,24116,01,15,20,22,31,32,03
126,24115,03,10,11,19,27,28,07
127,24114,07,11,18,24,27,32,04
128,24113,04,05,23,24,26,31,11
129,24112,08,11,16,25,29,32,03
130,24111,01,04,11,12,22,30,16
131,24110,04,13,17,23,25,33,14
132,24109,03,04,24,28,29,33,09
133,24108,01,08,09,23,24,30,08
134,24107,01,06,08,13,17,19,09
135,24106,03,08,11,22,31,33,04
136,24105,02,05,17,19,29,33,04
137,24104,05,16,23,24,26,29,04
138,24103,12,21,23,27,32,33,15
139,24102,09,15,18,21,22,25,01
140,24101,08,12,15,17,19,30,08
141,24100,13,14,19,20,27,30,05
142,24099,04,12,17,24,26,27,16
143,24098,03,08,10,20,30,31,02
144,24097,04,10,12,13,18,30,03
145,24096,02,04,14,18,23,27,13
146,24095,04,06,09,14,16,21,03
147,24094,06,13,17,22,25,27,09
148,24093,01,05,07,11,12,15,12
149,24092,03,08,11,12,18,29,05
150,24091,13,15,16,19,20,24,10
151,24090,07,11,17,24,31,32,12
152,24089,03,06,09,15,18,31,01
153,24088,03,08,10,17,30,32,10
154,24087,03,09,18,19,20,26,11
155,24086,17,19,20,23,25,31,02
156,24085,01,05,15,21,23,27,15
157,24084,01,08,10,13,19,29,13
158,24083,03,09,14,29,32,33,15
159,24082,01,02,13,16,17,29,16
160,24081,01,06,12,17,23,25,04
161,24080,06,11,12,27,29,30,13
162,24079,02,03,06,07,16,26,04
163,24078,05,09,14,21,22,26,12
164,24077,01,04,06,14,17,22,08
165,24076,03,22,24,27,29,32,15
166,24075,03,05,08,18,22,28,01
167,24074,07,08,10,22,24,32,07
168,24073,03,09,12,18,28,30,01
169,24072,01,14,20,21,23,27,06
170,24071,02,08,19,28,30,31,14
171,24070,04,13,18,20,22,28,05
172,24069,06,13,20,21,24,32,06
173,24068,01,02,07,19,20,21,01
174,24067,01,11,13,17,25,29,03
175,24066,08,09,12,22,26,32,13
176,24065,03,05,09,10,19,22,14
177,24064,06,08,17,18,28,30,05
178,24063,07,14,16,23,28,32,04
179,24062,01,07,10,16,18,27,16
180,24061,01,09,18,22,25,28,02
181,24060,01,02,06,10,22,28,15
182,24059,01,03,14,25,31,33,07
183,24058,08,12,13,17,27,29,13
184,24057,03,08,17,18,23,31,08
185,24056,05,18,20,24,25,26,06
186,24055,02,04,06,07,16,29,03
187,24054,08,13,20,25,31,32,03
188,24053,07,14,21,22,28,33,07
189,24052,07,10,11,15,17,21,03
190,24051,05,09,13,20,23,28,06
191,24050,01,03,07,10,22,33,02
192,24049,12,15,17,23,26,32,11
193,24048,02,09,15,19,26,28,02
194,24047,07,08,21,26,29,30,15
195,24046,02,06,10,11,17,29,15
196,24045,02,08,19,23,24,26,03
197,24044,02,06,17,25,32,33,06
198,24043,04,06,07,14,15,24,08
199,24042,02,04,05,14,26,32,14
200,24041,02,09,12,22,25,33,16
201,24040,11,14,18,19,23,26,02
202,24039,02,06,12,29,30,31,10
203,24038,08,10,18,23,27,31,02
204,24037,01,04,05,06,12,14,13
205,24036,02,08,09,12,21,31,02
206,24035,05,07,14,17,22,32,06
207,24034,02,09,12,19,21,31,04
208,24033,06,10,11,18,20,32,05
209,24032,01,03,04,11,12,21,16
210,24031,09,10,13,25,30,32,02
